Title,Address,Rent,Security Deposit,Square Footage,Availability
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara","$3,295",,"1,016 - 1,144 Sq Ft",Aug 28
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara","$3,295",,"1,016 - 1,144 Sq Ft",Aug 28
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara","$3,295",,"1,016 - 1,144 Sq Ft",Aug 28
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara","$3,550",,"1,144 Sq Ft",Aug 28
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara","$3,550",,"1,144 Sq Ft",Aug 28
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara","$3,550",,"1,144 Sq Ft",Aug 28
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara","$3,795",,"1,214 Sq Ft",Aug 28
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara","$3,795",,"1,214 Sq Ft",Aug 28
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara","$3,795",,"1,214 Sq Ft",Aug 28
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara","$4,095",,"1,409 Sq Ft",Aug 28
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara","$4,095",,"1,409 Sq Ft",Aug 28
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara","$4,095",,"1,409 Sq Ft",Aug 28
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara","$4,325",,"1,423 Sq Ft",Aug 28
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara","$4,325",,"1,423 Sq Ft",Aug 28
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara","$4,325",,"1,423 Sq Ft",Aug 28
Hollister Village,"100 Baldwin Dr, Goleta, CA 93117 – West Santa Barbara","$2,430 - 2,875",,678 Sq Ft,Available Now
Hollister Village,"100 Baldwin Dr, Goleta, CA 93117 – West Santa Barbara","$2,510 - 2,865",,720 Sq Ft,Available Now
Hollister Village,"100 Baldwin Dr, Goleta, CA 93117 – West Santa Barbara","$2,965 - 3,400",,951 Sq Ft,Available Now
Hollister Village,"100 Baldwin Dr, Goleta, CA 93117 – West Santa Barbara","$3,037 - 3,400",,955 Sq Ft,Available Now
Hollister Village,"100 Baldwin Dr, Goleta, CA 93117 – West Santa Barbara","$3,055 - 3,570",,"1,145 Sq Ft",Available Now
Hollister Village,"100 Baldwin Dr, Goleta, CA 93117 – West Santa Barbara","$3,160 - 3,510",,"1,165 Sq Ft",Available Now
Hollister Village,"100 Baldwin Dr, Goleta, CA 93117 – West Santa Barbara","$3,455",,"1,165 Sq Ft",Available Now
Hollister Village,"100 Baldwin Dr, Goleta, CA 93117 – West Santa Barbara","$3,540 - 3,785",,"1,282 Sq Ft",Available Now
Hollister Village,"100 Baldwin Dr, Goleta, CA 93117 – West Santa Barbara","$3,865 - 3,890",,"1,357 Sq Ft",Available Now
Hollister Village,"100 Baldwin Dr, Goleta, CA 93117 – West Santa Barbara","$3,680 - 3,705",,"1,194 Sq Ft",Not Available
Ivy Santa Barbara,"203 Ladera St, Santa Barbara, CA 93101 – Alta Mesa","$2,095 - 2,295",,600 Sq Ft,Available Now
The Tahitian Apartments,"6739 El Colegio Rd, Goleta, CA 93117 – Goleta","$2,450",,700 Sq Ft,Available Now
The Marc,"3885 State St, Santa Barbara, CA 93105 – North State","$2,995 - 3,295",,844 Sq Ft,Available Now
The Marc,"3885 State St, Santa Barbara, CA 93105 – North State","$2,995",,844 Sq Ft,Available Now
The Marc,"3885 State St, Santa Barbara, CA 93105 – North State","$3,295",,844 Sq Ft,Available Now
The Marc,"3885 State St, Santa Barbara, CA 93105 – North State","$3,295",,844 Sq Ft,Available Now
The Marc,"3885 State St, Santa Barbara, CA 93105 – North State","$3,395",,872 Sq Ft,Available Now
The Marc,"3885 State St, Santa Barbara, CA 93105 – North State","$3,395",,872 Sq Ft,Available Now
The Marc,"3885 State St, Santa Barbara, CA 93105 – North State","$3,895",,"1,026 Sq Ft",Aug 24
The Marc,"3885 State St, Santa Barbara, CA 93105 – North State","$3,895",,"1,026 Sq Ft",Aug 24
The Marc,"3885 State St, Santa Barbara, CA 93105 – North State","$2,995",,646 Sq Ft,Aug 31
The Marc,"3885 State St, Santa Barbara, CA 93105 – North State","$2,995",,646 Sq Ft,Aug 31
The Marc,"3885 State St, Santa Barbara, CA 93105 – North State",Call for Rent,,844 Sq Ft,Available Soon
The Marc,"3885 State St, Santa Barbara, CA 93105 – North State",Call for Rent,,"1,014 Sq Ft",Available Soon
